id,name,body,created_at,updated_at,resource_uri,photo
3,charmeleon,"{""type"":""fire"",""abilities"":""blaze"",""attack"":64,""defense"":58,""special_attack"":80,""special_defense"":65,""speed"":80}",2014-09-30 18:21:17.639243,2014-09-30 18:29:54.658916,api/v1/pokemon/5/,pokeapi.co/media/img/5.png
5,blastoise,"{""type"":""water"",""abilities"":""rain-dish"",""attack"":83,""defense"":100,""special_attack"":85,""special_defense"":105,""speed"":78}",2014-09-30 18:21:18.636549,2014-09-30 18:29:55.7916,api/v1/pokemon/9/,pokeapi.co/media/img/9.png
6,caterpie,"{""type"":""bug"",""abilities"":""shield-dust"",""attack"":30,""defense"":35,""special_attack"":20,""special_defense"":20,""speed"":45}",2014-09-30 18:21:18.934753,2014-09-30 18:29:56.052975,api/v1/pokemon/10/,pokeapi.co/media/img/10.png
7,metapod,"{""type"":""bug"",""abilities"":""shed-skin"",""attack"":20,""defense"":55,""special_attack"":25,""special_defense"":25,""speed"":30}",2014-09-30 18:21:19.237134,2014-09-30 18:29:56.316142,api/v1/pokemon/11/,pokeapi.co/media/img/11.png
8,butterfree,"{""type"":""flying"",""abilities"":""compoundeyes"",""attack"":45,""defense"":50,""special_attack"":90,""special_defense"":80,""speed"":70}",2014-09-30 18:21:19.699253,2014-09-30 18:29:56.571143,api/v1/pokemon/12/,pokeapi.co/media/img/12.png
10,kakuna,"{""type"":""poison"",""abilities"":""shed-skin"",""attack"":25,""defense"":50,""special_attack"":25,""special_defense"":25,""speed"":35}",2014-09-30 18:21:20.572385,2014-09-30 18:29:57.090231,api/v1/pokemon/14/,pokeapi.co/media/img/14.png
11,beedrill,"{""type"":""poison"",""abilities"":""swarm"",""attack"":90,""defense"":40,""special_attack"":45,""special_defense"":80,""speed"":75}",2014-09-30 18:21:20.962938,2014-09-30 18:29:57.459156,api/v1/pokemon/15/,pokeapi.co/media/img/15.png
12,pidgey,"{""type"":""normal"",""abilities"":""keen-eye"",""attack"":45,""defense"":40,""special_attack"":35,""special_defense"":35,""speed"":56}",2014-09-30 18:21:21.331936,2014-09-30 18:29:57.745942,api/v1/pokemon/16/,pokeapi.co/media/img/16.png
14,pidgeot,"{""type"":""normal"",""abilities"":""keen-eye"",""attack"":80,""defense"":75,""special_attack"":70,""special_defense"":70,""speed"":101}",2014-09-30 18:21:22.31918,2014-09-30 18:29:58.294221,api/v1/pokemon/18/,pokeapi.co/media/img/18.png
1,rattata,"{""type"":""normal"",""abilities"":""run-away"",""attack"":56,""defense"":35,""special_attack"":25,""special_defense"":35,""speed"":72}",2014-09-30 18:21:16.643103,2014-09-30 18:29:58.550981,api/v1/pokemon/19/,pokeapi.co/media/img/19.png
15,raticate,"{""type"":""normal"",""abilities"":""run-away"",""attack"":81,""defense"":60,""special_attack"":50,""special_defense"":70,""speed"":97}",2014-09-30 18:21:22.695159,2014-09-30 18:29:58.812861,api/v1/pokemon/20/,pokeapi.co/media/img/20.png
9,spearow,"{""type"":""normal"",""abilities"":""keen-eye"",""attack"":60,""defense"":30,""special_attack"":31,""special_defense"":31,""speed"":70}",2014-09-30 18:21:20.087042,2014-09-30 18:29:59.078495,api/v1/pokemon/21/,pokeapi.co/media/img/21.png
16,fearow,"{""type"":""normal"",""abilities"":""keen-eye"",""attack"":90,""defense"":65,""special_attack"":61,""special_defense"":61,""speed"":100}",2014-09-30 18:21:23.061737,2014-09-30 18:29:59.355014,api/v1/pokemon/22/,pokeapi.co/media/img/22.png
18,ekans,"{""type"":""poison"",""abilities"":""intimidate"",""attack"":60,""defense"":44,""special_attack"":40,""special_defense"":54,""speed"":55}",2014-09-30 18:21:24.15679,2014-09-30 18:29:59.603967,api/v1/pokemon/23/,pokeapi.co/media/img/23.png
20,arbok,"{""type"":""poison"",""abilities"":""intimidate"",""attack"":85,""defense"":69,""special_attack"":65,""special_defense"":79,""speed"":80}",2014-09-30 18:21:25.00635,2014-09-30 18:29:59.856563,api/v1/pokemon/24/,pokeapi.co/media/img/24.png
19,raichu,"{""type"":""electric"",""abilities"":""static"",""attack"":90,""defense"":55,""special_attack"":90,""special_defense"":80,""speed"":110}",2014-09-30 18:21:24.614101,2014-09-30 18:30:00.39991,api/v1/pokemon/26/,pokeapi.co/media/img/26.png
22,sandshrew,"{""type"":""ground"",""abilities"":""sand-veil"",""attack"":75,""defense"":85,""special_attack"":20,""special_defense"":30,""speed"":40}",2014-09-30 18:21:26.00651,2014-09-30 18:30:00.779957,api/v1/pokemon/27/,pokeapi.co/media/img/27.png
24,nidoran-f,"{""type"":""poison"",""abilities"":""poison-point"",""attack"":47,""defense"":52,""special_attack"":40,""special_defense"":40,""speed"":41}",2014-09-30 18:21:27.021028,2014-09-30 18:30:01.624134,api/v1/pokemon/29/,pokeapi.co/media/img/29.png
21,nidorina,"{""type"":""poison"",""abilities"":""poison-point"",""attack"":62,""defense"":67,""special_attack"":55,""special_defense"":55,""speed"":56}",2014-09-30 18:21:25.427155,2014-09-30 18:30:01.896229,api/v1/pokemon/30/,pokeapi.co/media/img/30.png
25,nidoqueen,"{""type"":""poison"",""abilities"":""poison-point"",""attack"":92,""defense"":87,""special_attack"":75,""special_defense"":85,""speed"":76}",2014-09-30 18:21:27.461,2014-09-30 18:30:02.144476,api/v1/pokemon/31/,pokeapi.co/media/img/31.png
23,nidoran-m,"{""type"":""poison"",""abilities"":""poison-point"",""attack"":57,""defense"":40,""special_attack"":40,""special_defense"":40,""speed"":50}",2014-09-30 18:21:26.615997,2014-09-30 18:30:02.406565,api/v1/pokemon/32/,pokeapi.co/media/img/32.png
26,nidorino,"{""type"":""poison"",""abilities"":""poison-point"",""attack"":72,""defense"":57,""special_attack"":55,""special_defense"":55,""speed"":65}",2014-09-30 18:21:27.848139,2014-09-30 18:30:02.672892,api/v1/pokemon/33/,pokeapi.co/media/img/33.png
28,clefable,"{""type"":""fairy"",""abilities"":""cute-charm"",""attack"":70,""defense"":73,""special_attack"":95,""special_defense"":90,""speed"":60}",2014-09-30 18:21:28.967034,2014-09-30 18:30:03.46976,api/v1/pokemon/36/,pokeapi.co/media/img/36.png
30,vulpix,"{""type"":""fire"",""abilities"":""flash-fire"",""attack"":41,""defense"":40,""special_attack"":50,""special_defense"":65,""speed"":65}",2014-09-30 18:21:29.775838,2014-09-30 18:30:03.736593,api/v1/pokemon/37/,pokeapi.co/media/img/37.png
31,ninetales,"{""type"":""fire"",""abilities"":""flash-fire"",""attack"":76,""defense"":75,""special_attack"":81,""special_defense"":100,""speed"":100}",2014-09-30 18:21:30.172129,2014-09-30 18:30:04.002397,api/v1/pokemon/38/,pokeapi.co/media/img/38.png
29,jigglypuff,"{""type"":""normal"",""abilities"":""cute-charm"",""attack"":45,""defense"":20,""special_attack"":45,""special_defense"":25,""speed"":20}",2014-09-30 18:21:29.393125,2014-09-30 18:30:04.28211,api/v1/pokemon/39/,pokeapi.co/media/img/39.png
32,wigglytuff,"{""type"":""normal"",""abilities"":""cute-charm"",""attack"":70,""defense"":45,""special_attack"":85,""special_defense"":50,""speed"":45}",2014-09-30 18:21:30.630329,2014-09-30 18:30:04.535454,api/v1/pokemon/40/,pokeapi.co/media/img/40.png
33,zubat,"{""type"":""flying"",""abilities"":""inner-focus"",""attack"":45,""defense"":35,""special_attack"":30,""special_defense"":40,""speed"":55}",2014-09-30 18:21:31.020212,2014-09-30 18:30:04.774095,api/v1/pokemon/41/,pokeapi.co/media/img/41.png
36,golbat,"{""type"":""flying"",""abilities"":""inner-focus"",""attack"":80,""defense"":70,""special_attack"":65,""special_defense"":75,""speed"":90}",2014-09-30 18:21:32.328987,2014-09-30 18:30:05.018692,api/v1/pokemon/42/,pokeapi.co/media/img/42.png
37,oddish,"{""type"":""poison"",""abilities"":""chlorophyll"",""attack"":50,""defense"":55,""special_attack"":75,""special_defense"":65,""speed"":30}",2014-09-30 18:21:32.709503,2014-09-30 18:30:05.267758,api/v1/pokemon/43/,pokeapi.co/media/img/43.png
39,vileplume,"{""type"":""poison"",""abilities"":""effect-spore"",""attack"":80,""defense"":85,""special_attack"":110,""special_defense"":90,""speed"":50}",2014-09-30 18:21:33.456954,2014-09-30 18:30:05.787077,api/v1/pokemon/45/,pokeapi.co/media/img/45.png
40,paras,"{""type"":""bug"",""abilities"":""damp"",""attack"":70,""defense"":55,""special_attack"":45,""special_defense"":55,""speed"":25}",2014-09-30 18:21:33.987666,2014-09-30 18:30:06.058224,api/v1/pokemon/46/,pokeapi.co/media/img/46.png
34,venonat,"{""type"":""poison"",""abilities"":""compoundeyes"",""attack"":55,""defense"":50,""special_attack"":40,""special_defense"":55,""speed"":45}",2014-09-30 18:21:31.531032,2014-09-30 18:30:06.618213,api/v1/pokemon/48/,pokeapi.co/media/img/48.png
35,meowth,"{""type"":""normal"",""abilities"":""pickup"",""attack"":45,""defense"":35,""special_attack"":40,""special_defense"":40,""speed"":90}",2014-09-30 18:21:31.939154,2014-09-30 18:30:07.647503,api/v1/pokemon/52/,pokeapi.co/media/img/52.png
61,venusaur,"{""type"":""poison"",""abilities"":""chlorophyll"",""attack"":82,""defense"":83,""special_attack"":100,""special_defense"":100,""speed"":80}",2014-09-30 18:21:43.488275,2014-09-30 18:29:54.139097,api/v1/pokemon/3/,pokeapi.co/media/img/3.png
62,squirtle,"{""type"":""water"",""abilities"":""rain-dish"",""attack"":48,""defense"":65,""special_attack"":50,""special_defense"":64,""speed"":43}",2014-09-30 18:21:44.026138,2014-09-30 18:29:55.192115,api/v1/pokemon/7/,pokeapi.co/media/img/7.png
63,weedle,"{""type"":""poison"",""abilities"":""shield-dust"",""attack"":35,""defense"":30,""special_attack"":20,""special_defense"":20,""speed"":50}",2014-09-30 18:21:44.35913,2014-09-30 18:29:56.836684,api/v1/pokemon/13/,pokeapi.co/media/img/13.png
42,venomoth,"{""type"":""poison"",""abilities"":""shield-dust"",""attack"":65,""defense"":60,""special_attack"":90,""special_defense"":75,""speed"":90}",2014-09-30 18:21:34.736786,2014-09-30 18:30:06.877272,api/v1/pokemon/49/,pokeapi.co/media/img/49.png
43,diglett,"{""type"":""ground"",""abilities"":""sand-veil"",""attack"":55,""defense"":25,""special_attack"":35,""special_defense"":45,""speed"":95}",2014-09-30 18:21:35.099282,2014-09-30 18:30:07.138681,api/v1/pokemon/50/,pokeapi.co/media/img/50.png
44,dugtrio,"{""type"":""ground"",""abilities"":""sand-veil"",""attack"":80,""defense"":50,""special_attack"":50,""special_defense"":70,""speed"":120}",2014-09-30 18:21:35.475631,2014-09-30 18:30:07.4014,api/v1/pokemon/51/,pokeapi.co/media/img/51.png
